species,chi2,df,p_raw,prop_pos1,prop_pos2,prop_pos3,favoured_position,p_fdr,significant
bpertussis,15.9235,2,0.0003485447339644508,0.3134,0.3918,0.2948,2nd position,0.00488,True
cjejuni,28.6671,2,5.956801553442034e-07,0.4009,0.2627,0.3364,1st position,8e-06,True
ecoli,82.9312,2,9.811291432441282e-19,0.2963,0.2387,0.465,3rd position,0.0,True
hinfluenzae,27.461,2,1.0887229742007072e-06,0.3627,0.256,0.3814,3rd position,1.5e-05,True
kpneumoniae,114.6833,2,1.2497803299389577e-25,0.2795,0.2301,0.4904,3rd position,0.0,True
lmonocytogenesA,53.4305,2,2.4986987303455722e-12,0.3236,0.2442,0.4322,3rd position,0.0,True
mtuberculosis,7.7582,2,0.02066980830601046,0.3161,0.3092,0.3747,3rd position,0.289377,False
nmeningitidis,49.1461,2,2.1284594836327853e-11,0.3118,0.2556,0.4327,3rd position,0.0,True
paeruginosa,19.5316,2,5.7380164586066214e-05,0.2849,0.3189,0.3962,3rd position,0.000803,True
sagalactiae,8.9779,2,0.011232385569999798,0.3758,0.3,0.3242,1st position,0.157253,False
saureus,8.8876,2,0.011751236271845348,0.3763,0.3021,0.3216,1st position,0.164517,False
sepidermidis,29.8585,2,3.283354225324538e-07,0.4121,0.2761,0.3118,1st position,5e-06,True
spneumoniae,50.2744,2,1.210756421917512e-11,0.3297,0.2437,0.4266,3rd position,0.0,True
styphimurium,2.7948,2,0.24723927030062895,0.3329,0.312,0.3551,3rd position,1.0,False
