test,species_1,species_2,statistic,df,p_raw,p_corrected,significant
1b_pairwise,bpertussis,cjejuni,25.3842,1,4.697562508188575e-07,4.3e-05,True
1b_pairwise,bpertussis,ecoli,45.6148,1,1.4395323840650218e-11,0.0,True
1b_pairwise,bpertussis,hinfluenzae,26.6447,1,2.4452342716001835e-07,2.2e-05,True
1b_pairwise,bpertussis,kpneumoniae,71.1687,1,3.279426002671647e-17,0.0,True
1b_pairwise,bpertussis,lmonocytogenesA,37.0508,1,1.1509262636730225e-09,0.0,True
1b_pairwise,bpertussis,mtuberculosis,5.319,1,0.021094397339886946,1.0,False
1b_pairwise,bpertussis,nmeningitidis,39.0963,1,4.0341729363419787e-10,0.0,True
1b_pairwise,bpertussis,paeruginosa,29.0167,1,7.175668111442868e-08,7e-06,True
1b_pairwise,bpertussis,sagalactiae,0.3224,1,0.5701969105449802,1.0,False
1b_pairwise,bpertussis,saureus,4.1525,1,0.04157288063585737,1.0,False
1b_pairwise,bpertussis,sepidermidis,1.0236,1,0.3116682419656708,1.0,False
1b_pairwise,bpertussis,spneumoniae,33.4141,1,7.448207840240936e-09,1e-06,True
1b_pairwise,bpertussis,styphimurium,0.6877,1,0.40693117937719925,1.0,False
1b_pairwise,cjejuni,ecoli,2.8479,1,0.09149332260183013,1.0,False
1b_pairwise,cjejuni,hinfluenzae,0.0058,1,0.9392461393020919,1.0,False
1b_pairwise,cjejuni,kpneumoniae,11.5767,1,0.0006678505743470727,0.060774,False
1b_pairwise,cjejuni,lmonocytogenesA,1.0226,1,0.3118912755527791,1.0,False
1b_pairwise,cjejuni,mtuberculosis,7.266,1,0.007027300707835259,0.639484,False
1b_pairwise,cjejuni,nmeningitidis,1.3905,1,0.23832662201235685,1.0,False
1b_pairwise,cjejuni,paeruginosa,0.0919,1,0.761744071183085,1.0,False
1b_pairwise,cjejuni,sagalactiae,19.6163,1,9.465680397730133e-06,0.000861,True
1b_pairwise,cjejuni,saureus,8.7846,1,0.0030377943001396917,0.276439,False
1b_pairwise,cjejuni,sepidermidis,15.8978,1,6.68558954091699e-05,0.006084,True
1b_pairwise,cjejuni,spneumoniae,0.4916,1,0.48321649785753273,1.0,False
1b_pairwise,cjejuni,styphimurium,17.379,1,3.0618476575897056e-05,0.002786,True
1b_pairwise,ecoli,hinfluenzae,2.4428,1,0.1180666969003525,1.0,False
1b_pairwise,ecoli,kpneumoniae,2.786,1,0.09509377051618932,1.0,False
1b_pairwise,ecoli,lmonocytogenesA,0.3935,1,0.5304420126521301,1.0,False
1b_pairwise,ecoli,mtuberculosis,19.5707,1,9.694376794931775e-06,0.000882,True
1b_pairwise,ecoli,nmeningitidis,0.2108,1,0.6461085441581156,1.0,False
1b_pairwise,ecoli,paeruginosa,1.7847,1,0.18156731289091677,1.0,False
1b_pairwise,ecoli,sagalactiae,37.8031,1,7.825846660595855e-10,0.0,True
1b_pairwise,ecoli,saureus,22.0057,1,2.7184091761478288e-06,0.000247,True
1b_pairwise,ecoli,sepidermidis,32.5943,1,1.1354855161776055e-08,1e-06,True
1b_pairwise,ecoli,spneumoniae,0.8794,1,0.34835607514030853,1.0,False
1b_pairwise,ecoli,styphimurium,34.6889,1,3.8683831639022715e-09,0.0,True
1b_pairwise,hinfluenzae,kpneumoniae,10.7471,1,0.0010444503352406626,0.095045,False
1b_pairwise,hinfluenzae,lmonocytogenesA,0.786,1,0.37532604284329374,1.0,False
