species,synonymous,nonsynonymous,syn_sites,nonsyn_sites,dN/dS
kpneumoniae,28569,27957,1178877.33,3669548.67,0.3144
ecoli,13230,16147,983573.67,3200646.33,0.3751
paeruginosa,6757,8653,1592784.33,4741724.67,0.4302
mtuberculosis,10545,17170,1046528.67,2951769.33,0.5773
cjejuni,2196,3888,307005.67,1221119.33,0.4451
nmeningitidis,1757,2313,431729.33,1440252.67,0.3946
sepidermidis,4292,10611,460570.0,1750391.0,0.6505
hinfluenzae,1645,2592,348474.67,1248563.33,0.4398
saureus,6201,13898,504705.67,1911215.33,0.5919
styphimurium,961,2051,1077586.67,3476881.33,0.6615
spneumoniae,2301,3406,411199.67,1471219.33,0.4137
lmonocytogenesA,4425,6350,575378.33,2057796.67,0.4012
bpertussis,592,1216,979993.0,2810282.0,0.7163
sagalactiae,2757,6790,399635.0,1452859.0,0.6774
