species,observed_genic_prop,expected_genic_prop,difference,genic_obs,inter_obs,total_obs,chi2,cramers_v,p_value,p_adj_BH,significant,stars
bpertussis,0.869661921708185,0.8530054472900277,0.01665647441815732,1955,293,2248,4.974,0.047,0.02573045368325755,0.02573045368325755,True,*
cjejuni,0.9902423158237111,0.9261590108950881,0.06408330492862302,6089,60,6149,369.2421,0.245,2.7365849032670955e-82,7.662437729147867e-82,True,***
ecoli,0.89540320621812,0.8614640031831376,0.033939203034982324,29491,3445,32936,317.8882,0.0982,4.177422686365465e-71,8.35484537273093e-71,True,***
hinfluenzae,0.9546983628616281,0.8825746116073951,0.07212375125423298,4257,202,4459,223.8106,0.224,1.334216522399255e-50,2.334878914198696e-50,True,***
kpneumoniae,0.905946733637181,0.8503211313510933,0.055625602286087705,58439,6067,64506,1568.2168,0.1559,0.0,0.0,True,***
lmonocytogenesA,0.9277996913050934,0.8994236771233439,0.02837601418174951,10820,842,11662,103.8044,0.0943,2.233089584281661e-24,2.8421140163584777e-24,True,***
mtuberculosis,0.9075907590759076,0.8831747160260669,0.024416043049840686,28325,2884,31209,180.3213,0.076,4.123590714962663e-41,6.414474445497475e-41,True,***
nmeningitidis,0.9030999349663993,0.789698465872761,0.11340146909363824,4166,447,4613,357.2046,0.2783,1.1435995102949683e-79,2.668398857354926e-79,True,***
paeruginosa,0.8975488207683838,0.8889698470966378,0.008578973671745982,15489,1768,17257,12.8679,0.0273,0.0003342647841901056,0.0003599774598970368,True,***
sagalactiae,0.912033978291647,0.8766534844772198,0.035380493814427205,9663,932,10595,122.6518,0.1076,1.6620104789192053e-28,2.3268146704868875e-28,True,***
saureus,0.9534002652017427,0.8426826067327647,0.11071765846897796,20132,984,21116,1952.5613,0.3041,0.0,0.0,True,***
sepidermidis,0.9544265015637965,0.8311588447107238,0.12326765685307273,14953,714,15667,1696.3747,0.3291,0.0,0.0,True,***
spneumoniae,0.9384216496515961,0.8313546967277049,0.10706695292389123,5791,380,6171,504.5519,0.2859,9.718122531701946e-112,3.401342886095681e-111,True,***
styphimurium,0.835158817086528,0.8739934975384311,-0.03883468045190319,3050,602,3652,50.0114,0.117,1.528547042532037e-12,1.7833048829540432e-12,True,***
