term,IRR,std.error,statistic,p.value,lower_CI,upper_CI,sig_label
(Intercept),1e-4,0.1864,-49.5425,0,1e-4,1e-4,***
mutation_classC->G,0.3085,0.27,-4.3547,0,0.1806,0.5269,***
mutation_classC->T,2.3766,0.2612,3.3147,9e-4,1.4171,3.9857,***
mutation_classT->A,0.4116,0.2674,-3.3196,9e-4,0.2422,0.6995,***
mutation_classT->C,0.9227,0.2632,-0.3055,0.7599,0.5475,1.5549,ns
mutation_classT->G,0.5426,0.2656,-2.302,0.0213,0.3204,0.9187,*
speciesbpertussis,0.368,0.2692,-3.7132,2e-4,0.2147,0.6308,***
speciescjejuni,1.7072,0.2732,1.9578,0.0502,0.9985,2.9199,ns
speciesecoli,6.203,0.2603,7.0103,0,3.7059,10.3826,***
specieshinfluenzae,2.366,0.2653,3.2468,0.0012,1.402,3.9927,**
specieskpneumoniae,12.498,0.26,9.7155,0,7.4728,20.9027,***
specieslmonocytogenesA,4.3623,0.2617,5.6291,0,2.5992,7.321,***
speciesmtuberculosis,5.2433,0.2604,6.363,0,3.1318,8.7784,***
speciesnmeningitidis,1.3741,0.2647,1.2006,0.2299,0.814,2.3191,ns
speciespaeruginosa,1.9718,0.2608,2.6036,0.0092,1.1768,3.304,**
speciessagalactiae,8.1001,0.2612,8.0077,0,4.8303,13.5831,***
speciessaureus,8.7164,0.2607,8.305,0,5.2022,14.6037,***
speciessepidermidis,7.9085,0.2609,7.9259,0,4.7182,13.2555,***
speciesspneumoniae,3.132,0.263,4.3404,0,1.8619,5.2683,***
is_intergenic,2.2428,0.0486,16.6056,0,2.0354,2.4743,***
mutation_classC->G:speciesbpertussis,2.2786,0.388,2.1225,0.0338,1.0512,4.9396,*
mutation_classC->T:speciesbpertussis,2.1359,0.3742,2.0283,0.0425,1.0162,4.4894,*
mutation_classT->A:speciesbpertussis,0.9021,0.4058,-0.254,0.7995,0.4026,2.0167,ns
mutation_classT->C:speciesbpertussis,2.8864,0.379,2.7972,0.0052,1.3575,6.1374,**
mutation_classT->G:speciesbpertussis,2.8769,0.3837,2.7538,0.0059,1.3388,6.1819,**
mutation_classC->G:speciescjejuni,1.2951,0.4091,0.632,0.5274,0.5816,2.8998,ns
mutation_classC->T:speciescjejuni,4.6259,0.3766,4.0666,0,2.2112,9.6743,***
mutation_classT->A:speciescjejuni,0.7587,0.3912,-0.7059,0.4802,0.3527,1.6319,ns
mutation_classT->C:speciescjejuni,3.6757,0.3783,3.4412,6e-4,1.7503,7.7166,***
