contrast,mutation_class,ratio,SE,df,null,z.ratio,p_value_bonferroni,significant,sig_label
styphimurium / bpertussis,C->A,2.7173859157139217,0.7315797909410668,Inf,1,3.7131836940597522,0.018624808014680094,TRUE,*
styphimurium / cjejuni,C->A,0.5857675485628213,0.16001605697027452,Inf,1,-1.9578495918023795,1,FALSE,ns
styphimurium / ecoli,C->A,0.161212580094116,0.04196958060102933,Inf,1,-7.010268351851771,2.16453927083821e-10,TRUE,***
styphimurium / hinfluenzae,C->A,0.42264791386831835,0.11210815784585917,Inf,1,-3.2467847913138246,0.1062121147527851,FALSE,ns
styphimurium / kpneumoniae,C->A,0.08001249655725329,0.020799469669316135,Inf,1,-9.715505257432232,2.3565494181010443e-20,TRUE,***
styphimurium / lmonocytogenesA,C->A,0.22923775801823984,0.0599854067647103,Inf,1,-5.6291391542415266,1.648112303897129e-6,TRUE,***
styphimurium / mtuberculosis,C->A,0.19071914328995082,0.049664334303589595,Inf,1,-6.362971232556513,1.8007786642662214e-8,TRUE,***
styphimurium / nmeningitidis,C->A,0.7277700015314095,0.19262068688919376,Inf,1,-1.2006167763836602,1,FALSE,ns
styphimurium / paeruginosa,C->A,0.507144523645093,0.13225053609556517,Inf,1,-2.6036224911114756,0.8394231179413509,FALSE,ns
styphimurium / sagalactiae,C->A,0.12345496896120417,0.03225069498458736,Inf,1,-8.007667248033075,1.063832783137473e-13,TRUE,***
styphimurium / saureus,C->A,0.11472677930195543,0.029910542026819913,Inf,1,-8.304985911820543,9.084647567299862e-15,TRUE,***
styphimurium / sepidermidis,C->A,0.12644615497607095,0.032991005358352664,Inf,1,-7.925884532619272,2.0614049131738872e-13,TRUE,***
styphimurium / spneumoniae,C->A,0.31928277402908317,0.08398272459004738,Inf,1,-4.3403945530328585,0.0012942666796380185,TRUE,**
bpertussis / cjejuni,C->A,0.2155628853360441,0.0601553720115696,Inf,1,-5.498790832837761,3.479880189395301e-6,TRUE,***
bpertussis / ecoli,C->A,0.05932634711980601,0.01581242326349101,Inf,1,-10.597947885191106,2.771772159183124e-24,TRUE,***
bpertussis / hinfluenzae,C->A,0.15553474073161916,0.042201127569309466,Inf,1,-6.858405520913449,6.336635741762983e-10,TRUE,***
bpertussis / kpneumoniae,C->A,0.029444657122333,0.00783693914714827,Inf,1,-13.24491153829336,4.393939037185213e-38,TRUE,***
bpertussis / lmonocytogenesA,C->A,0.08435966223737994,0.022594587457935994,Inf,1,-9.232001373476464,2.4171570060701583e-18,TRUE,***
bpertussis / mtuberculosis,C->A,0.07018478390834097,0.018711245889429233,Inf,1,-9.96483957094561,1.9767409499590258e-21,TRUE,***
bpertussis / nmeningitidis,C->A,0.2678198916550309,0.07251643511051284,Inf,1,-4.865611365264993,1.038342200084583e-4,TRUE,***
bpertussis / paeruginosa,C->A,0.18662955479102572,0.0498226199683506,Inf,1,-6.287945080687671,2.9274305680542847e-8,TRUE,***
bpertussis / sagalactiae,C->A,0.045431518669209574,0.012148773371458008,Inf,1,-11.561148569026347,5.90005037153258e-29,TRUE,***
bpertussis / saureus,C->A,0.04221953850519388,0.011268321609977854,Inf,1,-11.857972017286944,1.7804761041382828e-30,TRUE,***
bpertussis / sepidermidis,C->A,0.046532277305503945,0.012428397133597304,Inf,1,-11.485216834446543,1.4245341317686954e-28,TRUE,***
bpertussis / spneumoniae,C->A,0.11749629383988328,0.031626012524430244,Inf,1,-7.955492679581649,1.6236226473779086e-13,TRUE,***
cjejuni / ecoli,C->A,0.2752159632087003,0.07445343084839809,Inf,1,-4.769201404355332,1.683114823828269e-4,TRUE,***
cjejuni / hinfluenzae,C->A,0.7215283859703112,0.1985990646959158,Inf,1,-1.1857810235255315,1,FALSE,ns
cjejuni / kpneumoniae,C->A,0.13659428002381435,0.03690214090172664,Inf,1,-7.368779116735177,1.5669990034383258e-11,TRUE,***
cjejuni / lmonocytogenesA,C->A,0.3913459504212446,0.10637159822282234,Inf,1,-3.4515455703771627,0.05072209168345531,FALSE,ns
cjejuni / mtuberculosis,C->A,0.3255884416230971,0.08810191817480251,Inf,1,-4.146898072326185,0.0030667910013071793,TRUE,**
cjejuni / nmeningitidis,C->A,1.24242116743577,0.34128685415393684,Inf,1,0.7901929351786358,1,FALSE,ns
cjejuni / paeruginosa,C->A,0.8657777729226728,0.23458019495123986,Inf,1,-0.5319373508029872,1,FALSE,ns
cjejuni / sagalactiae,C->A,0.21075761070086677,0.057197253207342355,Inf,1,-5.737328219508247,8.752539380188992e-7,TRUE,***
