species_A,species_B,chi2,p_value,p_adjusted,significant,stars
cjejuni,nmeningitidis,64.237,1.103131245798593e-15,1.0038494336767197e-13,True,***
cjejuni,hinfluenzae,341.117,3.643940966625398e-76,3.3159862796291122e-74,True,***
cjejuni,spneumoniae,506.076,4.5276341195282245e-112,4.120147048770684e-110,True,***
cjejuni,ecoli,771.648,7.879135100827739e-170,7.170012941753243e-168,True,***
cjejuni,sagalactiae,699.291,4.2642137904132606e-154,3.880434549276067e-152,True,***
cjejuni,bpertussis,389.281,1.1870385591559017e-86,1.0802050888318705e-84,True,***
cjejuni,saureus,830.167,1.4904405232397231e-182,1.356300876148148e-180,True,***
cjejuni,lmonocytogenesA,880.678,1.5569960046341668e-193,1.4168663642170916e-191,True,***
cjejuni,kpneumoniae,1295.546,1.0497429533372023e-283,9.552660875368541e-282,True,***
cjejuni,mtuberculosis,1271.014,2.250981241326582e-278,2.0483929296071896e-276,True,***
cjejuni,sepidermidis,1326.286,2.1925553783715048e-290,1.9952253943180693e-288,True,***
cjejuni,paeruginosa,1513.176,0.0,0.0,True,***
cjejuni,styphimurium,1099.655,3.92483092576502e-241,3.571596142446168e-239,True,***
nmeningitidis,hinfluenzae,94.72,2.1929724442409647e-22,1.995604924259278e-20,True,***
nmeningitidis,spneumoniae,169.612,8.99277581534548e-39,8.183425991964386e-37,True,***
nmeningitidis,ecoli,269.898,1.1945048774931474e-60,1.0869994385187642e-58,True,***
nmeningitidis,sagalactiae,258.495,3.6527853932295405e-58,3.3240347078388817e-56,True,***
nmeningitidis,bpertussis,143.552,4.4524855425822144e-33,4.051761843749815e-31,True,***
nmeningitidis,saureus,312.578,5.994147487236813e-70,5.4546742133855e-68,True,***
nmeningitidis,lmonocytogenesA,361.61,1.2563416016569407e-80,1.143270857507816e-78,True,***
nmeningitidis,kpneumoniae,564.472,8.950874053318249e-125,8.145295388519606e-123,True,***
nmeningitidis,mtuberculosis,565.939,4.2930911544670044e-125,3.906712950564974e-123,True,***
nmeningitidis,sepidermidis,627.091,2.1448957045555878e-138,1.9518550911455847e-136,True,***
nmeningitidis,paeruginosa,743.338,1.1269772712512272e-163,1.0255493168386168e-161,True,***
nmeningitidis,styphimurium,562.986,1.8840133002387378e-124,1.7144521032172515e-122,True,***
hinfluenzae,spneumoniae,7.151,0.007493306368050193,0.6818908794925675,False,ns
hinfluenzae,ecoli,18.901,1.3766526955683109e-05,0.001252753952967163,True,**
hinfluenzae,sagalactiae,25.092,5.466735394190233e-07,4.9747292087131124e-05,True,***
hinfluenzae,bpertussis,13.542,0.0002333137864282801,0.021231554564973488,True,*
hinfluenzae,saureus,35.825,2.1582569269573105e-09,1.9640138035311527e-07,True,***
hinfluenzae,lmonocytogenesA,63.443,1.6504028239230473e-15,1.501866569769973e-13,True,***
hinfluenzae,kpneumoniae,140.44,2.1332277404500308e-32,1.9412372438095282e-30,True,***
hinfluenzae,mtuberculosis,148.24,4.204044920670667e-34,3.8256808778103075e-32,True,***
hinfluenzae,sepidermidis,194.996,2.5820203609103995e-44,2.3496385284284636e-42,True,***
hinfluenzae,paeruginosa,262.262,5.513651993265282e-59,5.0174233138714067e-57,True,***
hinfluenzae,styphimurium,208.919,2.3643625528190843e-47,2.1515699230653667e-45,True,***
spneumoniae,ecoli,1.545,0.21387553181713223,1.0,False,ns
spneumoniae,sagalactiae,5.383,0.020337850132109123,1.0,False,ns
spneumoniae,bpertussis,2.854,0.09113496444127338,1.0,False,ns
spneumoniae,saureus,10.522,0.0011796756598023341,0.1073504850420124,False,ns
spneumoniae,lmonocytogenesA,31.863,1.6539730514548575e-08,1.5051154768239204e-06,True,***
spneumoniae,kpneumoniae,100.974,9.321404619948242e-24,8.4824782041529e-22,True,***
spneumoniae,mtuberculosis,108.752,1.8393558915018533e-25,1.6738138612666865e-23,True,***
spneumoniae,sepidermidis,155.953,8.667465005397905e-36,7.887393154912093e-34,True,***
spneumoniae,paeruginosa,226.902,2.824856714075518e-51,2.5706196098087212e-49,True,***
spneumoniae,styphimurium,169.522,9.411538060221774e-39,8.564499634801814e-37,True,***
ecoli,sagalactiae,3.184,0.07434214047758432,1.0,False,ns
ecoli,bpertussis,1.231,0.26712621159541666,1.0,False,ns
ecoli,saureus,11.514,0.0006908363436647776,0.06286610727349476,False,ns
ecoli,lmonocytogenesA,45.415,1.5944098844319768e-11,1.4509129948330988e-09,True,***
ecoli,kpneumoniae,306.669,1.1612380737208502e-68,1.0567266470859737e-66,True,***
ecoli,mtuberculosis,274.339,1.2860455524764092e-61,1.1703014527535324e-59,True,***
ecoli,sepidermidis,326.56,5.396827224491752e-73,4.9111127742874946e-71,True,***
ecoli,paeruginosa,512.992,1.4166765822175662e-113,1.2891756898179853e-111,True,***
ecoli,styphimurium,224.872,7.82961600198227e-51,7.124950561803867e-49,True,***
sagalactiae,bpertussis,0.029,0.8638186398370349,1.0,False,ns
sagalactiae,saureus,0.674,0.41176231691399734,1.0,False,ns
sagalactiae,lmonocytogenesA,14.985,0.00010835509209971605,0.00986031338107416,True,**
sagalactiae,kpneumoniae,87.657,7.78397104208194e-21,7.083413648294566e-19,True,***
sagalactiae,mtuberculosis,95.003,1.9007756084186249e-22,1.7297058036609487e-20,True,***
sagalactiae,sepidermidis,146.911,8.20507886712139e-34,7.466621769080466e-32,True,***
sagalactiae,paeruginosa,234.161,7.378407986737727e-53,6.714351267931331e-51,True,***
sagalactiae,styphimurium,151.414,8.510643417789885e-35,7.744685510188796e-33,True,***
bpertussis,saureus,0.047,0.8280550525778582,1.0,False,ns
bpertussis,lmonocytogenesA,4.114,0.04252645986555269,1.0,False,ns
bpertussis,kpneumoniae,18.79,1.4596206819608628e-05,0.0013282548205843852,True,**
bpertussis,mtuberculosis,22.701,1.8923223520099199e-06,0.0001722013340329027,True,***
bpertussis,sepidermidis,41.701,1.0636587461425331e-10,9.67929458989705e-09,True,***
bpertussis,paeruginosa,65.485,5.855688960693442e-16,5.3286769542310325e-14,True,***
bpertussis,styphimurium,70.248,5.229265134219047e-17,4.758631272139333e-15,True,***
saureus,lmonocytogenesA,13.387,0.00025337890524025576,0.023057480376863275,True,*
saureus,kpneumoniae,125.542,3.872259608435101e-29,3.5237562436759416e-27,True,***
saureus,mtuberculosis,127.164,1.7107711781647687e-29,1.5568017721299396e-27,True,***
saureus,sepidermidis,186.445,1.8984914103389012e-42,1.7276271834084002e-40,True,***
saureus,paeruginosa,311.212,1.1890612934692114e-69,1.0820457770569825e-67,True,***
saureus,styphimurium,161.904,4.341632374037803e-37,3.9508854603744005e-35,True,***
lmonocytogenesA,kpneumoniae,21.878,2.9060949109016716e-06,0.00026445463689205213,True,***
lmonocytogenesA,mtuberculosis,28.89,7.66257047954706e-08,6.9729391363878245e-06,True,***
lmonocytogenesA,sepidermidis,68.186,1.4875458670570529e-16,1.353666739021918e-14,True,***
lmonocytogenesA,paeruginosa,132.13,1.4013685900301981e-30,1.2752454169274803e-28,True,***
lmonocytogenesA,styphimurium,92.489,6.771477726571886e-22,6.162044731180416e-20,True,***
kpneumoniae,mtuberculosis,2.661,0.1028317456161681,1.0,False,ns
kpneumoniae,sepidermidis,37.021,1.1686761145721244e-09,1.0634952642606331e-07,True,***
