species,mutation_class,type,no_mutations
bpertussis,C->A,Tv,240
bpertussis,C->G,Tv,182
bpertussis,C->T,Ts,1269
bpertussis,T->A,Tv,51
bpertussis,T->C,Ts,317
bpertussis,T->G,Tv,189
cjejuni,C->A,Tv,262
cjejuni,C->G,Tv,94
cjejuni,C->T,Ts,3222
cjejuni,T->A,Tv,183
cjejuni,T->C,Ts,2222
cjejuni,T->G,Tv,166
ecoli,C->A,Tv,4051
ecoli,C->G,Tv,1185
ecoli,C->T,Ts,18800
ecoli,T->A,Tv,2171
ecoli,T->C,Ts,4804
ecoli,T->G,Tv,1925
hinfluenzae,C->A,Tv,508
hinfluenzae,C->G,Tv,120
hinfluenzae,C->T,Ts,2154
hinfluenzae,T->A,Tv,213
hinfluenzae,T->C,Ts,1181
hinfluenzae,T->G,Tv,283
kpneumoniae,C->A,Tv,10722
kpneumoniae,C->G,Tv,3886
kpneumoniae,C->T,Ts,35319
kpneumoniae,T->A,Tv,4405
kpneumoniae,T->C,Ts,7340
kpneumoniae,T->G,Tv,2834
lmonocytogenesA,C->A,Tv,1382
lmonocytogenesA,C->G,Tv,427
lmonocytogenesA,C->T,Ts,5216
lmonocytogenesA,T->A,Tv,1140
lmonocytogenesA,T->C,Ts,2756
lmonocytogenesA,T->G,Tv,741
mtuberculosis,C->A,Tv,3812
mtuberculosis,C->G,Tv,3832
mtuberculosis,C->T,Ts,15412
mtuberculosis,T->A,Tv,558
mtuberculosis,T->C,Ts,5060
mtuberculosis,T->G,Tv,2535
nmeningitidis,C->A,Tv,450
nmeningitidis,C->G,Tv,100
nmeningitidis,C->T,Ts,3254
nmeningitidis,T->A,Tv,43
nmeningitidis,T->C,Ts,581
nmeningitidis,T->G,Tv,185
paeruginosa,C->A,Tv,2336
paeruginosa,C->G,Tv,1836
paeruginosa,C->T,Ts,8441
paeruginosa,T->A,Tv,830
paeruginosa,T->C,Ts,2216
paeruginosa,T->G,Tv,1598
sagalactiae,C->A,Tv,1658
sagalactiae,C->G,Tv,251
sagalactiae,C->T,Ts,5426
sagalactiae,T->A,Tv,621
sagalactiae,T->C,Ts,2071
sagalactiae,T->G,Tv,568
saureus,C->A,Tv,2526
saureus,C->G,Tv,755
saureus,C->T,Ts,9047
saureus,T->A,Tv,1919
saureus,T->C,Ts,5799
saureus,T->G,Tv,1070
sepidermidis,C->A,Tv,2104
sepidermidis,C->G,Tv,503
sepidermidis,C->T,Ts,7007
sepidermidis,T->A,Tv,2210
sepidermidis,T->C,Ts,2950
sepidermidis,T->G,Tv,893
spneumoniae,C->A,Tv,795
spneumoniae,C->G,Tv,201
spneumoniae,C->T,Ts,3337
spneumoniae,T->A,Tv,271
spneumoniae,T->C,Ts,1134
spneumoniae,T->G,Tv,433
styphimurium,C->A,Tv,637
styphimurium,C->G,Tv,227
styphimurium,C->T,Ts,1625
styphimurium,T->A,Tv,264
styphimurium,T->C,Ts,556
styphimurium,T->G,Tv,343
