species,ts_count,tv_count,total,ts_pct,tv_pct,ts_tv_ratio
cjejuni,5444,705,6149,88.53472109286062,11.465278907139373,7.721985815602837
nmeningitidis,3835,778,4613,83.13461955343594,16.865380446564057,4.929305912596401
hinfluenzae,3335,1124,4459,74.79255438439112,25.207445615608883,2.9670818505338077
spneumoniae,4471,1700,6171,72.45179063360881,27.548209366391184,2.63
ecoli,23604,9332,32936,71.66626184114646,28.33373815885353,2.529361337333905
sagalactiae,7497,3098,10595,70.75979235488438,29.240207645115618,2.41994835377663
bpertussis,1586,662,2248,70.55160142348754,29.448398576512457,2.395770392749245
saureus,14846,6270,21116,70.30687630233,29.693123697670014,2.3677830940988835
lmonocytogenesA,7972,3690,11662,68.35877208026068,31.641227919739322,2.1604336043360433
kpneumoniae,42659,21847,64506,66.13183269773354,33.86816730226646,1.952625074380922
mtuberculosis,20472,10737,31209,65.59646255887725,34.40353744112276,1.9066778429728974
sepidermidis,9957,5710,15667,63.553966936873685,36.446033063126315,1.7437828371278459
paeruginosa,10657,6600,17257,61.75465028684012,38.245349713159875,1.6146969696969697
styphimurium,2181,1471,3652,59.72070098576122,40.279299014238774,1.4826648538409246
